canopy,spp,a,b,c
1,ACERUB,5,15,0.85
2,ACERUB,10,2.5,0.8
1,BETSP,15,2.5,0.8
2,BETSP,25,2.5,0.8
1,PINSTR,15,2.5,0.8
2,PINSTR,15,2.5,0.8
1,QUERUB,5,2.5,0.8
2,QUERUB,10,2.5,0.8
1,TSUCAN,5,2.5,0.8
2,TSUCAN,18,1.5,0.985
