"num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","species","canopy","trial"
0,Inf,NA,NA,1,1,33
1,500,23,37.5,1,2,33
2,250,13,16,2,1,33
73,6.84931506849315,12,29,2,2,33
0,Inf,NA,NA,3,1,33
14,35.7142857142857,16,24,3,2,33
0,Inf,NA,NA,4,1,33
0,Inf,NA,NA,4,2,33
0,Inf,NA,NA,5,1,33
0,Inf,NA,NA,5,2,33
