"num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","species","canopy","trial"
2,500,31,36.5,1,1,40
3,333.333333333333,24,34,1,2,40
9,111.111111111111,13,21,2,1,40
153,6.5359477124183,11,29,2,2,40
0,Inf,NA,NA,3,1,40
19,52.6315789473684,14,26,3,2,40
1,1000,23,23.5,4,1,40
1,1000,22,23,4,2,40
0,Inf,NA,NA,5,1,40
3,333.333333333333,37,49.5,5,2,40
