"num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","species","canopy","trial"
0,Inf,NA,NA,1,1,59
3,166.666666666667,21,38,1,2,59
1,500,20,20,2,1,59
64,7.8125,12,26,2,2,59
0,Inf,NA,NA,3,1,59
5,100,17,21,3,2,59
0,Inf,NA,NA,4,1,59
1,500,22,23,4,2,59
0,Inf,NA,NA,5,1,59
1,500,39,42,5,2,59
