"num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","species","canopy","trial"
1,500,43,49.5,1,1,76
4,125,22,39,1,2,76
2,250,18,21.5,2,1,76
73,6.84931506849315,12,27,2,2,76
0,Inf,NA,NA,3,1,76
11,45.4545454545455,15,29.5,3,2,76
0,Inf,NA,NA,4,1,76
0,Inf,NA,NA,4,2,76
0,Inf,NA,NA,5,1,76
0,Inf,NA,NA,5,2,76
