"num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","species","canopy","trial"
11,909.090909090909,21,41.5,1,1,60
31,322.58064516129,17,35,1,2,60
41,243.90243902439,13,22,2,1,60
1357,7.36919675755343,10,29,2,2,60
8,1250,21,29,3,1,60
148,67.5675675675676,14,28,3,2,60
0,Inf,NA,NA,4,1,60
11,909.090909090909,17,22.5,4,2,60
0,Inf,NA,NA,5,1,60
10,1000,27,41,5,2,60
