"num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","species","canopy","trial"
0,Inf,NA,NA,1,1,30
2,250,21,23,1,2,30
2,250,16,16.5,2,1,30
72,6.94444444444444,12,29,2,2,30
1,500,36,37,3,1,30
11,45.4545454545455,15,23,3,2,30
0,Inf,NA,NA,4,1,30
0,Inf,NA,NA,4,2,30
0,Inf,NA,NA,5,1,30
1,500,45,45,5,2,30
