"num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","species","canopy","trial"
1,500,42,48.5,1,1,93
4,125,24,36.5,1,2,93
1,500,17,17,2,1,93
69,7.2463768115942,13,27,2,2,93
0,Inf,NA,NA,3,1,93
7,71.4285714285714,18,27,3,2,93
0,Inf,NA,NA,4,1,93
0,Inf,NA,NA,4,2,93
0,Inf,NA,NA,5,1,93
0,Inf,NA,NA,5,2,93
