"num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","species","canopy","trial"
8,1250,21,33,1,1,9
35,285.714285714286,17,38,1,2,9
35,285.714285714286,13,22,2,1,9
1353,7.3909830007391,10,29,2,2,9
5,2000,21,25.5,3,1,9
165,60.6060606060606,13,27,3,2,9
0,Inf,NA,NA,4,1,9
6,1666.66666666667,16,18,4,2,9
0,Inf,NA,NA,5,1,9
3,3333.33333333333,27,35,5,2,9
