"spp","canopy","a.mu","a.sd","a.05","a.50","a.95","b.mu","b.sd","b.05","b.50","b.95"
"ACERUB",1,0.299472633773313,0.0241860168007033,0.261120237223058,0.299456002130926,0.338043539545261,0.0557752168491303,0.00969855847467325,0.0399393964180952,0.0557110110491171,0.0712818996274271
"ACERUB",2,0.239436979029713,0.014032087138342,0.218490119981599,0.238573246741229,0.264108132435436,0.024613029369609,0.0033052559925755,0.0193458166473591,0.0245248455642887,0.0303386686815246
"BETSP",1,0.219411561486361,0.044977003533091,0.149765501668509,0.218048044392906,0.295791323675104,0.00523088044742845,0.00125718608046571,0.00323662173393002,0.00517248578224993,0.00743732681194894
"BETSP",2,0.340244028501503,1.80935624936307,0.203703205333594,0.252585562961334,0.303050382324735,0.00644288913527797,0.0631239625998027,0.00189717314631245,0.00292736585978977,0.00397696607386243
"PINSTR",1,0.274883906750984,0.0476283928863728,0.198328511950514,0.273584850346844,0.354550864012727,0.0335037601079276,0.00900390214598228,0.0210712401833028,0.0324962051600685,0.0487125588149834
"PINSTR",2,0.255599169470425,0.0299469983340989,0.205892235376691,0.255182308644336,0.30376753567941,0.00860968569364513,0.00210255513038627,0.00514270367117857,0.00861253885075948,0.0121239963335111
"QUERUB",1,0.572071874862621,0.179389960800285,0.310862131198489,0.55258953194207,0.878959719677841,0.0863191113656576,0.0206739703266527,0.0509763441099108,0.0858772365908166,0.120112745179887
"QUERUB",2,0.15912504800249,0.0664702525957977,0.0673942214233441,0.15348622693795,0.282700972024223,0.00140054851042816,0.0158255182582928,-0.0221945608558129,0.000956332451888706,0.0279237404989866
"TSUCAN",1,0.105693372661362,0.0289004798480133,0.0616455606509379,0.102879015014588,0.156114281380244,0.00459946545462237,0.00281377051845809,0.00019901319074578,0.00452256248287512,0.00905611406664143
"TSUCAN",2,0.109411509420127,0.0294446986522405,0.0650354959689484,0.107755648346978,0.160234677486062,0.00417599989238594,0.0022492626296989,0.000457679256832928,0.00411421303773504,0.00794704480779276
