"","num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","species","canopy","trial"
"135",0,Inf,NA,NA,3,1,14
"136",24,41.6666666666667,13,24,3,2,14
"137",0,Inf,NA,NA,4,1,14
"138",4,250,17,19.5,4,2,14
"139",0,Inf,NA,NA,5,1,14
"140",2,500,29,35.5,5,2,14
"141",0,Inf,NA,NA,1,1,15
"142",3,333.333333333333,21,31,1,2,15
"143",3,333.333333333333,16,21,2,1,15
"144",137,7.2992700729927,12,28,2,2,15
"145",0,Inf,NA,NA,3,1,15
"146",21,47.6190476190476,16,23,3,2,15
"147",0,Inf,NA,NA,4,1,15
"148",1,1000,18,19.5,4,2,15
"149",0,Inf,NA,NA,5,1,15
"150",1,1000,41,44.5,5,2,15
"151",0,Inf,NA,NA,1,1,16
"152",3,333.333333333333,25,45.5,1,2,16
"153",6,166.666666666667,13,21,2,1,16
"154",154,6.49350649350649,10,29,2,2,16
"155",0,Inf,NA,NA,3,1,16
"156",12,83.3333333333333,17,28,3,2,16
"157",0,Inf,NA,NA,4,1,16
"158",4,250,16,24.5,4,2,16
"159",0,Inf,NA,NA,5,1,16
"160",2,500,37,45,5,2,16
"161",0,Inf,NA,NA,1,1,17
"162",4,250,22,27,1,2,17
"163",6,166.666666666667,16,22,2,1,17
"164",163,6.13496932515337,11,28,2,2,17
"165",1,1000,25,25,3,1,17
"166",17,58.8235294117647,14,23,3,2,17
"167",0,Inf,NA,NA,4,1,17
"168",7,142.857142857143,15,20,4,2,17
"169",0,Inf,NA,NA,5,1,17
"170",1,1000,31,34.5,5,2,17
"171",0,Inf,NA,NA,1,1,18
"172",3,333.333333333333,22,39.5,1,2,18
"173",6,166.666666666667,15,19,2,1,18
"174",161,6.2111801242236,12,28,2,2,18
"175",1,1000,27,28,3,1,18
"176",21,47.6190476190476,16,26,3,2,18
"177",0,Inf,NA,NA,4,1,18
"178",2,500,16,18.5,4,2,18
"179",0,Inf,NA,NA,5,1,18
"180",2,500,40,44,5,2,18
"181",2,500,22,41,1,1,19
"182",9,111.111111111111,17,29,1,2,19
"183",6,166.666666666667,14,20.5,2,1,19
"184",150,6.66666666666667,11,27,2,2,19
"185",0,Inf,NA,NA,3,1,19
"186",17,58.8235294117647,17,26,3,2,19
"187",0,Inf,NA,NA,4,1,19
"188",3,333.333333333333,17,20,4,2,19
"189",0,Inf,NA,NA,5,1,19
"190",0,Inf,NA,NA,5,2,19
"191",1,1000,27,37,1,1,20
"192",5,200,22,31.5,1,2,20
"193",4,250,15,19,2,1,20
"194",166,6.02409638554217,11,29,2,2,20
"195",0,Inf,NA,NA,3,1,20
"196",22,45.4545454545455,16,26,3,2,20
"197",0,Inf,NA,NA,4,1,20
"198",1,1000,20,24.5,4,2,20
"199",0,Inf,NA,NA,5,1,20
"200",2,500,31,36,5,2,20
"201",0,Inf,NA,NA,1,1,21
"202",2,500,33,34.5,1,2,21
"203",6,166.666666666667,13,24,2,1,21
"204",155,6.45161290322581,10,27,2,2,21
"205",0,Inf,NA,NA,3,1,21
"206",20,50,14,25,3,2,21
"207",0,Inf,NA,NA,4,1,21
"208",1,1000,19,20,4,2,21
"209",0,Inf,NA,NA,5,1,21
"210",2,500,26,38.5,5,2,21
"211",0,Inf,NA,NA,1,1,22
"212",4,250,20,29,1,2,22
"213",5,200,17,26,2,1,22
"214",160,6.25,12,30,2,2,22
"215",0,Inf,NA,NA,3,1,22
"216",11,90.9090909090909,17,27,3,2,22
"217",0,Inf,NA,NA,4,1,22
"218",6,166.666666666667,14,19,4,2,22
"219",0,Inf,NA,NA,5,1,22
