"","species","canopy","num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","trials"
"1","ACERUB",1,0,Inf,43,49,100
"2","ACERUB",2,3,166.666666666667,21.5,32.5,100
"3","BETSP",1,2,250,15,21,100
"4","BETSP",2,73,6.84931506849315,12,28,100
"5","PINSTR",1,0,Inf,37,40.25,100
"6","PINSTR",2,10,50,17,25,100
"7","QUERUB",1,0,Inf,NA,NA,100
"8","QUERUB",2,1,500,12,16,100
"9","TSUCAN",1,0,Inf,41,43,100
"10","TSUCAN",2,0,Inf,32,37,100
