"","num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","species","canopy","trial"
"1",0,Inf,NA,NA,1,1,1
"2",3,166.666666666667,22,31,1,2,1
"3",1,500,19,21,2,1,1
"4",69,7.2463768115942,12,28,2,2,1
"5",0,Inf,NA,NA,3,1,1
"6",13,38.4615384615385,16,27,3,2,1
"7",0,Inf,NA,NA,4,1,1
"8",1,500,11,11,4,2,1
"9",0,Inf,NA,NA,5,1,1
"10",0,Inf,NA,NA,5,2,1
"11",1,500,50,53,1,1,2
"12",3,166.666666666667,22,30.5,1,2,2
"13",3,166.666666666667,12,21,2,1,2
"14",75,6.66666666666667,12,30,2,2,2
"15",0,Inf,NA,NA,3,1,2
"16",14,35.7142857142857,17,28,3,2,2
"17",0,Inf,NA,NA,4,1,2
"18",0,Inf,NA,NA,4,2,2
"19",0,Inf,NA,NA,5,1,2
"20",1,500,40,40.5,5,2,2
"21",0,Inf,NA,NA,1,1,3
"22",4,125,21,30,1,2,3
"23",1,500,21,25.5,2,1,3
"24",79,6.32911392405063,12,28,2,2,3
"25",0,Inf,NA,NA,3,1,3
"26",12,41.6666666666667,16,24,3,2,3
"27",0,Inf,NA,NA,4,1,3
"28",2,250,12,15,4,2,3
"29",0,Inf,NA,NA,5,1,3
"30",0,Inf,NA,NA,5,2,3
"31",0,Inf,NA,NA,1,1,4
"32",3,166.666666666667,34,39,1,2,4
"33",1,500,19,24,2,1,4
"34",69,7.2463768115942,12,28,2,2,4
"35",0,Inf,NA,NA,3,1,4
"36",12,41.6666666666667,17,26,3,2,4
"37",0,Inf,NA,NA,4,1,4
"38",2,250,11,14.5,4,2,4
"39",0,Inf,NA,NA,5,1,4
"40",0,Inf,NA,NA,5,2,4
"41",1,500,43,46.5,1,1,5
"42",0,Inf,NA,NA,1,2,5
"43",2,250,11,19.5,2,1,5
"44",89,5.61797752808989,12,27,2,2,5
"45",1,500,36,42,3,1,5
"46",10,50,18,29,3,2,5
"47",0,Inf,NA,NA,4,1,5
"48",1,500,18,20,4,2,5
"49",0,Inf,NA,NA,5,1,5
"50",0,Inf,NA,NA,5,2,5
"51",0,Inf,NA,NA,1,1,6
"52",1,500,33,37,1,2,6
"53",2,250,17,28.5,2,1,6
"54",80,6.25,12,27,2,2,6
"55",0,Inf,NA,NA,3,1,6
"56",11,45.4545454545455,17,26,3,2,6
"57",0,Inf,NA,NA,4,1,6
"58",1,500,11,12,4,2,6
"59",0,Inf,NA,NA,5,1,6
