"Species_23","mu.prop_dead","mu.prop_missing","mu.prop_alive","mu.prop_break","mu.break"
"ACERUB",0.167559034932395,0.0523266956457461,0.780114269421859,0.0147062444597656,-5.22763157894737
"BETSP",0.177432432432432,0.0301801801801802,0.792387387387387,0.0426115346263952,-8.92857142857143
"PINSTR",0.0958702825324809,0.014745308310992,0.889384409156527,0.0240384615384615,-6.125
"QUERUB",0.240963855421687,0.0457599629286376,0.713276181649676,0.0996981385208787,-6.79605263157895
"TSUCAN",0.233459051724138,0.0366379310344828,0.729903017241379,0.0554963084495488,-8.76388888888889
