"spp","canopy","a.mu","a.sd","a.05","a.50","a.95","b.mu","b.sd","b.05","b.50","b.95","c.mu","c.sd","c.05","c.50","c.95"
"ACERUB",1,3.1009541914584,1.92042862426965,1.43093118383564,2.61107487655797,6.1384794780609,5.65699410172224,9.21365305441424,-8.00869708079073,5.97135839791658,18.6161932775556,6.93029583015162,6.14400031929163,1.06413310617369,5.11740518642308,18.2412496334123
"ACERUB",2,4.22354297224172,3.90740055684645,1.8517511889137,3.33542938614262,8.6705987945559,10.6484645778092,9.44107631914779,1.26493440827257,9.06705087404189,27.1136305129908,7.30917846185371,5.71786067909572,2.15766329920383,5.47008188903262,18.3589642935787
"BETSP",1,17.1130575484181,48.1668207805252,4.88672292196012,12.3872311063004,31.2892801789997,37.6382224269781,57.5285793931316,5.42341118057197,21.4417333852336,146.422356277759,15.4072940196541,19.9596496268888,1.58253281578185,10.6491378298002,60.0135885882314
"BETSP",2,36.1783475663738,64.4853499652201,6.96875375763144,23.6625113202259,91.8729736853622,85.2001959193362,119.22622899907,3.80944443485914,50.0033940154984,305.843806049235,37.2392155327103,38.6824612629259,2.76253138325935,25.8162083524904,121.223683966625
"PINSTR",1,4.21319492614879,22.2966484565461,1.80257039371654,2.93914961591052,6.56576500199046,9.23142577622741,10.6288756769799,5.1315767443806,6.7923781167523,22.8069410948276,2.66800910965076,4.4796208078138,0.309850736273479,1.61944533096533,10.5772588223554
"PINSTR",2,9.58798229939445,9.67243861194513,2.90640331974426,9.51380842792052,15.3651104187913,23.8779997094768,22.6522821140587,5.91750029061239,19.0602971732932,59.8133796891565,9.81704424331126,8.7391922262782,1.30213600148115,7.86525524902889,27.4311615908859
"QUERUB",1,4.48176978300025,4.9597524406338,2.00865282507622,2.88203135228579,11.6435171181716,14.2776745492176,21.0878544510389,-1.17588444594271,7.36258109200655,47.410240449887,12.317375498699,13.9793277801276,0.0900084248329339,8.7778642691342,38.2837464298982
"QUERUB",2,13.6538490811573,8.9471712824142,4.27829673472593,11.5571719082749,26.8658041898412,36.8997378876491,17.4792913278788,9.88964729720264,33.0530631088703,69.2562301709306,14.1218792702518,6.16641911456592,5.89975731301093,12.7444046889285,25.5025005352977
"TSUCAN",1,8.31233110539211,11.8636942129985,2.12638283448178,5.3988602118013,20.8409606858974,44.5800246995903,52.8711852839004,4.26069465756171,29.8791329407117,133.652889649836,20.7255757369506,17.8841323717059,3.1205415899697,15.543206688606,58.5483215180397
"TSUCAN",2,8.96497458200117,22.245176699183,2.59670792062096,4.58867268328411,28.2686365517267,31.1517268797249,54.1932514165533,3.39963003265702,10.3381101170337,166.455877458117,14.3290913960249,18.6102850164332,2.39341489967181,5.98034328611151,57.8805064201903
