"spp","canopy","a.mu","a.sd","a.05","a.50","a.95","b.mu","b.sd","b.05","b.50","b.95","c.mu","c.sd","c.05","c.50","c.95"
"ACERUB",1,96.7436114852113,325.627422391142,2.29333885024676,5.59890452018863,481.471928601298,3.76605442133979,2.11470330469888,1.11254508596748,3.18657053004037,7.58462249804081,0.881034384305762,0.0600490083953775,0.789037727922858,0.887272696836956,0.949093315120969
"ACERUB",2,4.43951891298129,1.56136717927571,3.20436410487745,4.17498201333353,5.94478821408989,1.76999236536406,0.202119288123359,1.48985828372687,1.75487808877634,2.08362312201415,0.933828927508214,0.0208255551074882,0.898988973169077,0.934553809452082,0.964742081060315
"BETSP",1,11.8963436894212,3.69761291850733,8.77809645055554,11.61372668477,15.2412436913581,2.28856891365492,0.575857639899888,1.52973950553952,2.22564365548291,3.19564076430396,0.941880017157314,0.0245638867788595,0.899170641766167,0.944693070657043,0.976036037052993
"BETSP",2,131.79248273557,601.537527757656,5.52653723703366,57.2449032706765,307.638904598312,2.92076261399099,2.42604666229682,1.60543690982952,2.58790334470872,4.49645123434515,0.981377964410709,0.0765676126006984,0.984392248475829,0.995228497979379,0.998196447553134
"PINSTR",1,2.81490292976078,0.537656918971148,2.07184126658283,2.75619584747723,3.68791675986654,973.998970618794,16340.5487811338,0.651643696864503,12.1791964241707,430.200917250408,0.60756107186204,0.170504643845798,0.304080149347694,0.618429607266096,0.888010753424014
"PINSTR",2,11.2998225189734,3.21722269659738,7.70866133301944,11.011626886543,15.3510801542894,2.63783424444125,0.383942525117001,2.10113988846366,2.60655786206906,3.23730934469182,0.95260952543266,0.0175373634417622,0.926521909271877,0.954285771319617,0.975507304906965
"QUERUB",1,1.78048206885779,0.869509110436746,0.508613481659421,1.74999240774407,3.43237890299044,92.3474664816369,945.305583670147,-8.44008488392202,-2.07667581051848,13.1557328961769,0.836367724986913,0.109449289021255,0.656906060891737,0.862672627445566,0.955434064866704
"QUERUB",2,4.40160490123483,5.53550772580646,1.61449733225594,2.546766598004,13.9257752847573,-816.158021546155,4089.28014866923,-1240.08719000039,-1.51900732054596,5.80538693784139,0.693279464768674,0.265418973021411,0.20095456571729,0.811170616674272,0.97220403935188
"TSUCAN",1,15.6106889867634,79.0235593243439,2.84726358808073,7.6376780469022,21.2268385716357,4.64954110380442,31.7782864605011,1.50740338980838,2.47909171799063,4.52872053741867,0.958277241800346,0.0783191467450912,0.855683425402122,0.977122251345154,0.993193418314165
"TSUCAN",2,-0.99343437323529,506.23299075686,-225.101827394745,1.58190891295556,183.651266299049,2.75107024774495,2.05036743823788,1.38185635266043,2.23656534208175,5.71511872630481,0.989484305327531,0.0141116754492903,0.965748118715904,0.993908206810556,0.997555056475978
