"","num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","species","canopy","trial"
"1",10,1000,21,35,1,1,1
"2",42,238.095238095238,18,39,1,2,1
"3",52,192.307692307692,13,22,2,1,1
"4",1369,7.30460189919649,10,29,2,2,1
"5",3,3333.33333333333,24,33,3,1,1
"6",197,50.761421319797,13,26,3,2,1
"7",0,Inf,NA,NA,4,1,1
"8",9,1111.11111111111,16,21,4,2,1
"9",1,10000,47,47,5,1,1
"10",5,2000,29,41,5,2,1
"11",11,909.090909090909,27,37,1,1,2
"12",48,208.333333333333,17,35,1,2,2
"13",40,250,12,24,2,1,2
"14",1334,7.49625187406297,10,29,2,2,2
"15",7,1428.57142857143,22,28,3,1,2
"16",163,61.3496932515337,13,27,3,2,2
"17",0,Inf,NA,NA,4,1,2
"18",9,1111.11111111111,17,24,4,2,2
"19",1,10000,62,73.5,5,1,2
"20",5,2000,30,37.5,5,2,2
"21",12,833.333333333333,23,36,1,1,3
"22",24,416.666666666667,17,38,1,2,3
"23",57,175.438596491228,12,22,2,1,3
"24",1359,7.35835172921266,10,29,2,2,3
"25",4,2500,23,52.5,3,1,3
"26",144,69.4444444444444,13,26,3,2,3
"27",0,Inf,NA,NA,4,1,3
"28",11,909.090909090909,15,22.5,4,2,3
"29",0,Inf,NA,NA,5,1,3
"30",7,1428.57142857143,27,48,5,2,3
"31",17,588.235294117647,21,37.5,1,1,4
"32",29,344.827586206897,18,33,1,2,4
"33",54,185.185185185185,13,21,2,1,4
"34",1306,7.65696784073507,10,29,2,2,4
"35",3,3333.33333333333,23,27,3,1,4
"36",169,59.1715976331361,13,26,3,2,4
"37",0,Inf,NA,NA,4,1,4
"38",13,769.230769230769,17,21,4,2,4
"39",1,10000,30,36,5,1,4
"40",14,714.285714285714,26,42,5,2,4
"41",16,625,21,34.5,1,1,5
"42",36,277.777777777778,17,34.5,1,2,5
"43",42,238.095238095238,13,24,2,1,5
"44",1279,7.81860828772478,10,29,2,2,5
"45",2,5000,24,34,3,1,5
"46",177,56.4971751412429,15,26,3,2,5
"47",0,Inf,NA,NA,4,1,5
"48",8,1250,14,19,4,2,5
"49",0,Inf,NA,NA,5,1,5
"50",10,1000,29,42,5,2,5
"51",14,714.285714285714,22,37,1,1,6
"52",34,294.117647058824,17,40,1,2,6
"53",36,277.777777777778,13,23,2,1,6
"54",1349,7.41289844329133,10,29,2,2,6
"55",4,2500,22,34,3,1,6
"56",159,62.8930817610063,14,26,3,2,6
"57",0,Inf,NA,NA,4,1,6
"58",9,1111.11111111111,16,23,4,2,6
"59",0,Inf,NA,NA,5,1,6
"60",9,1111.11111111111,29,48,5,2,6
"61",12,833.333333333333,21,38,1,1,7
"62",29,344.827586206897,17,34,1,2,7
"63",41,243.90243902439,13,23,2,1,7
"64",1369,7.30460189919649,10,29,2,2,7
"65",2,5000,23,27,3,1,7
"66",135,74.0740740740741,14,26,3,2,7
"67",2,5000,22,27.5,4,1,7
"68",11,909.090909090909,17,22,4,2,7
"69",1,10000,34,38.5,5,1,7
"70",9,1111.11111111111,20,39,5,2,7
"71",12,833.333333333333,21,35,1,1,8
"72",28,357.142857142857,17,36,1,2,8
"73",44,227.272727272727,14,23,2,1,8
"74",1383,7.23065798987708,11,29,2,2,8
"75",3,3333.33333333333,22,27,3,1,8
"76",142,70.4225352112676,13,26,3,2,8
"77",0,Inf,NA,NA,4,1,8
"78",15,666.666666666667,15,21,4,2,8
"79",2,5000,47,73.5,5,1,8
"80",12,833.333333333333,27,42,5,2,8
"81",8,1250,21,33,1,1,9
"82",35,285.714285714286,17,38,1,2,9
"83",35,285.714285714286,13,22,2,1,9
"84",1353,7.3909830007391,10,29,2,2,9
"85",5,2000,21,25.5,3,1,9
"86",165,60.6060606060606,13,27,3,2,9
"87",0,Inf,NA,NA,4,1,9
"88",6,1666.66666666667,16,18,4,2,9
"89",0,Inf,NA,NA,5,1,9
"90",3,3333.33333333333,27,35,5,2,9
"91",10,1000,21,37,1,1,10
"92",44,227.272727272727,17,36,1,2,10
"93",45,222.222222222222,13,23,2,1,10
"94",1378,7.25689404934688,11,30,2,2,10
"95",4,2500,21,29,3,1,10
"96",129,77.5193798449612,12,26,3,2,10
"97",0,Inf,NA,NA,4,1,10
"98",12,833.333333333333,15,23,4,2,10
"99",0,Inf,NA,NA,5,1,10
"100",10,1000,26,45,5,2,10
"101",8,1250,22,32.5,1,1,11
"102",30,333.333333333333,17,36,1,2,11
"103",49,204.081632653061,12,22,2,1,11
"104",1413,7.07714083510262,10,29,2,2,11
"105",4,2500,22,55,3,1,11
"106",169,59.1715976331361,13,25,3,2,11
"107",0,Inf,NA,NA,4,1,11
"108",9,1111.11111111111,14,22,4,2,11
"109",0,Inf,NA,NA,5,1,11
"110",8,1250,27,43,5,2,11
"111",18,555.555555555556,22,37,1,1,12
"112",27,370.37037037037,19,32,1,2,12
"113",47,212.765957446808,13,22,2,1,12
"114",1291,7.74593338497289,10,29,2,2,12
"115",6,1666.66666666667,22,38,3,1,12
"116",173,57.8034682080925,13,26,3,2,12
"117",0,Inf,NA,NA,4,1,12
"118",12,833.333333333333,13,20,4,2,12
"119",0,Inf,NA,NA,5,1,12
"120",10,1000,27,40,5,2,12
"121",14,714.285714285714,21,35,1,1,13
"122",31,322.58064516129,17,44,1,2,13
"123",37,270.27027027027,13,23.5,2,1,13
"124",1311,7.627765064836,11,29,2,2,13
"125",4,2500,22,28.5,3,1,13
"126",155,64.5161290322581,13,27,3,2,13
"127",0,Inf,NA,NA,4,1,13
"128",14,714.285714285714,15,22,4,2,13
"129",1,10000,42,42,5,1,13
"130",8,1250,27,42,5,2,13
"131",11,909.090909090909,22,36,1,1,14
"132",31,322.58064516129,18,35,1,2,14
"133",38,263.157894736842,13,22,2,1,14
"134",1401,7.13775874375446,10,29,2,2,14
"135",5,2000,23,33,3,1,14
"136",146,68.4931506849315,14,28,3,2,14
"137",0,Inf,NA,NA,4,1,14
"138",9,1111.11111111111,14,20,4,2,14
"139",1,10000,36,38,5,1,14
"140",12,833.333333333333,21,34.5,5,2,14
"141",8,1250,22,34,1,1,15
"142",35,285.714285714286,19,36,1,2,15
"143",59,169.491525423729,13,22,2,1,15
"144",1353,7.3909830007391,10,29,2,2,15
"145",3,3333.33333333333,22,25,3,1,15
"146",166,60.2409638554217,12,26,3,2,15
"147",0,Inf,NA,NA,4,1,15
"148",8,1250,20,25.5,4,2,15
"149",1,10000,39,40.5,5,1,15
"150",12,833.333333333333,26,42,5,2,15
