"","species","canopy","num_to_ht","num_needed","min_time_to_ht","med_time_to_ht","trials"
"1","ACERUB",1,1,1000,30,35,100
"2","ACERUB",2,3.5,291.666666666667,21,35,100
"3","BETSP",1,5,200,15,21.75,100
"4","BETSP",2,151,6.62251655629139,11,28,100
"5","PINSTR",1,0,Inf,27,30.75,100
"6","PINSTR",2,18,55.5555555555556,16,25.75,100
"7","QUERUB",1,0,Inf,23,23.5,100
"8","QUERUB",2,2,500,17,20,100
"9","TSUCAN",1,0,Inf,35.5,39,100
"10","TSUCAN",2,2,500,31,39.5,100
