"species","intercept","slope","mu","beta","sd.beta","p","n","obs"
"ACERUB",-2.47995856112487,-0.208158246918015,-5.24264705882353,-0.208158246918015,0.0426472493899168,7.00784043930955e-06,3624,5975
"BETSP",-6.90940827453734,-0.028169751075102,-8.76190476190476,-0.028169751075102,0.0201694772411582,0.178620552067257,375,633
"PINSTR",-5.79359122401848,-0.00808314087759816,-6.125,-0.00808314087759816,0.0994526533685353,0.942623673608804,376,425
"QUERUB",6.33490754290276,-0.763868564586937,-6.69148936170213,-0.763868564586937,0.114521014460207,3.14827082647567e-08,472,675
"TSUCAN",-6.9728228014006,-0.0110776329025768,-7.9375,-0.0110776329025768,0.0271933171488554,0.687675848910838,379,610
